id,adminWallet,action,targetType,targetId,requestDetails,success,resultDetails,ipAddress,userAgent,createdAt
1,0xa14504ffe5e9a245c9d4079547fa16fa0a823114,cancel_operation,operation,65555e5b-de5e-435d-bfd2-8ffec3117e60,{},1,,,,2026-01-05 13:57:15
2,0xa14504ffe5e9a245c9d4079547fa16fa0a823114,cancel_operation,operation,6cf48b21-8dbb-4ab7-b866-1e89a34c0fff,{},1,,,,2026-01-05 13:57:20
3,0xa14504ffe5e9a245c9d4079547fa16fa0a823114,cancel_operation,operation,53e6b788-e06a-4ed0-ae44-0ff4f429e431,{},1,,,,2026-01-05 13:57:21
4,0xa14504ffe5e9a245c9d4079547fa16fa0a823114,cancel_operation,operation,e732f311-9da4-4115-849d-5cb3bb07c0a2,{},1,,,,2026-01-05 13:57:23
5,0xa14504ffe5e9a245c9d4079547fa16fa0a823114,cancel_operation,operation,1a655724-f2a5-48ca-a5ad-a101717d2510,{},1,,,,2026-01-05 13:57:24
6,0xa14504ffe5e9a245c9d4079547fa16fa0a823114,cancel_operation,operation,4e63c72b-4de5-41f2-ac70-1d86902c3cde,{},1,,,,2026-01-05 13:57:26
7,0xa14504ffe5e9a245c9d4079547fa16fa0a823114,cancel_operation,operation,cd89b39d-902f-48ce-b08b-2e9cff1ccbd5,{},1,,,,2026-01-05 13:57:28
8,0xa14504ffe5e9a245c9d4079547fa16fa0a823114,cancel_operation,operation,dcd8d1a8-1df7-4683-a8e3-bd9a2312657a,{},1,,,,2026-01-05 13:57:32
9,0xa14504ffe5e9a245c9d4079547fa16fa0a823114,cancel_operation,operation,50cc6e55-a279-4200-bbf3-15ccd75753cd,{},1,,,,2026-01-05 13:57:33
10,0xa14504ffe5e9a245c9d4079547fa16fa0a823114,cancel_operation,operation,a745534a-90bc-43da-bb29-3621ab159e7e,{},1,,,,2026-01-05 13:57:34
11,0xa14504ffe5e9a245c9d4079547fa16fa0a823114,cancel_operation,operation,57b31126-33a6-4770-8ed9-9c2747389074,{},1,,,,2026-01-05 13:57:35
